,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Season,Review Rating,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases,Frequency_of_Purchases
123,57,1,23,1,89,0,3.1,1,46,1,Weekly,6
124,44,1,23,1,86,1,3.1,1,50,4,Annually,0
125,49,1,18,1,54,3,3.6,1,45,5,Every 3 Months,2
126,43,1,18,1,36,1,3.9,1,48,1,Every 3 Months,2
127,24,1,23,1,89,3,4.8,1,26,2,Weekly,6
128,20,1,15,0,32,1,4.7,1,21,2,Fortnightly,3
129,24,1,5,1,67,2,4.2,1,49,4,Bi-Weekly,1
130,44,1,15,0,39,0,3.7,1,13,4,Fortnightly,3
131,28,1,19,1,29,2,3.9,1,46,2,Weekly,6
132,30,1,0,0,58,0,4.7,1,42,4,Weekly,6
133,52,1,23,1,65,3,2.5,1,25,5,Annually,0
134,43,1,8,0,94,0,4.9,1,25,1,Monthly,4
135,43,1,14,2,81,0,4.1,1,12,4,Quarterly,5
136,39,1,2,1,86,3,3.3,1,4,3,Quarterly,5
137,68,1,20,2,43,1,4.7,1,38,4,Weekly,6
138,68,1,19,1,29,3,4.4,1,42,0,Weekly,6
139,49,1,4,3,95,0,3.8,1,30,5,Annually,0
140,63,1,16,1,28,0,3.9,1,50,2,Weekly,6
141,56,1,6,0,46,0,4.9,1,45,4,Weekly,6
142,37,1,10,3,58,0,3.1,1,33,2,Fortnightly,3
143,30,1,4,3,48,0,2.7,1,25,4,Quarterly,5
144,19,1,17,2,43,0,3.2,1,25,1,Monthly,4
145,24,1,12,0,95,0,4.5,1,44,3,Quarterly,5
146,52,1,19,1,30,0,4.0,1,21,5,Fortnightly,3
147,63,1,17,2,64,2,3.5,1,31,0,Fortnightly,3
148,37,1,6,0,90,0,2.6,1,47,3,Annually,0
149,38,1,13,1,76,2,3.2,1,14,4,Monthly,4
150,35,1,3,2,96,0,4.9,1,17,3,Every 3 Months,2
151,28,1,22,0,47,0,4.5,1,3,5,Annually,0
152,30,1,16,1,85,2,4.3,1,42,5,Annually,0
153,69,1,9,1,55,3,3.2,1,22,3,Annually,0
154,41,1,5,1,98,0,3.6,1,21,5,Quarterly,5
155,63,1,21,1,77,1,4.3,1,21,0,Quarterly,5
156,35,1,18,1,26,0,4.0,1,40,3,Annually,0
157,36,1,8,0,68,0,3.0,1,1,0,Fortnightly,3
158,25,1,16,1,73,0,4.1,1,50,0,Monthly,4
159,58,1,6,0,27,0,3.8,1,39,0,Every 3 Months,2
160,27,1,6,0,23,2,4.6,1,34,5,Monthly,4
161,65,1,0,0,49,0,3.0,1,29,5,Fortnightly,3
162,54,1,22,0,74,2,3.0,1,31,4,Bi-Weekly,1
163,54,1,19,1,67,2,3.4,1,8,3,Weekly,6
164,59,1,7,0,65,1,2.6,1,5,2,Fortnightly,3
165,42,1,7,0,60,3,2.8,1,7,1,Monthly,4
166,46,1,20,2,31,0,4.0,1,30,1,Monthly,4
167,33,1,6,0,27,0,4.0,1,14,2,Every 3 Months,2
168,34,1,17,2,80,2,3.0,1,5,1,Fortnightly,3
169,27,1,10,3,30,2,3.3,1,3,4,Every 3 Months,2
170,52,1,16,1,25,0,2.6,1,46,5,Bi-Weekly,1
171,29,1,18,1,35,2,3.6,1,4,2,Weekly,6
172,54,1,12,0,67,2,3.9,1,42,2,Bi-Weekly,1
173,25,1,8,0,46,0,3.4,1,30,1,Annually,0
174,41,1,17,2,35,3,3.5,1,37,5,Annually,0
175,53,1,4,3,86,0,2.8,1,2,0,Annually,0
176,53,1,0,0,81,1,2.7,1,30,2,Quarterly,5
177,21,1,9,1,42,0,3.7,1,47,0,Monthly,4
178,61,1,19,1,43,0,4.3,1,21,4,Quarterly,5
179,64,1,3,2,31,0,4.9,1,9,0,Fortnightly,3
180,51,1,14,2,81,0,3.3,1,12,3,Fortnightly,3
181,32,1,13,1,61,2,4.7,1,4,0,Weekly,6
182,38,1,6,0,96,2,2.8,1,10,3,Annually,0
183,58,1,19,1,29,1,3.6,1,26,2,Weekly,6
184,32,1,20,2,33,1,3.0,1,40,1,Fortnightly,3
185,46,1,24,1,32,2,4.5,1,34,0,Fortnightly,3
186,39,1,0,0,56,2,2.9,1,31,3,Annually,0
187,19,1,17,2,94,1,3.3,1,1,0,Bi-Weekly,1
188,50,1,9,1,53,1,3.1,1,5,0,Bi-Weekly,1
189,36,1,2,1,82,0,4.4,1,4,2,Weekly,6
190,65,1,4,3,70,0,3.0,1,48,5,Quarterly,5
191,64,1,8,0,76,0,3.9,1,29,1,Every 3 Months,2
192,46,1,17,2,29,2,2.9,1,12,4,Bi-Weekly,1
193,36,1,1,0,100,0,3.0,1,29,5,Annually,0
194,51,1,0,0,94,1,3.1,1,15,3,Quarterly,5
195,51,1,10,3,25,0,4.3,1,34,2,Monthly,4
196,38,1,3,2,88,2,3.9,1,41,2,Fortnightly,3
197,59,1,15,0,78,0,3.2,1,41,2,Monthly,4
198,57,1,12,0,45,3,4.8,1,39,2,Fortnightly,3
199,54,1,8,0,73,2,3.8,1,32,1,Weekly,6
200,25,1,5,1,61,2,3.3,1,29,5,Monthly,4
201,69,1,2,1,22,0,4.3,1,15,0,Annually,0
202,57,1,8,0,38,1,2.7,1,33,5,Annually,0
203,70,1,15,0,38,0,3.2,1,18,0,Weekly,6
204,24,1,20,2,100,0,4.0,1,35,1,Bi-Weekly,1
205,67,1,16,1,64,3,3.0,1,25,4,Weekly,6
206,24,1,24,1,55,2,4.2,1,6,5,Fortnightly,3
207,62,1,6,0,91,2,2.9,1,17,0,Bi-Weekly,1
208,57,1,19,1,38,1,4.1,1,17,2,Monthly,4
209,55,1,14,2,97,3,3.2,1,44,1,Every 3 Months,2
210,45,1,10,3,22,0,3.0,1,6,4,Fortnightly,3
211,69,1,19,1,92,0,4.2,1,45,3,Fortnightly,3
212,67,1,7,0,84,0,4.2,1,7,3,Annually,0
213,30,1,7,0,93,0,4.4,1,11,3,Every 3 Months,2
214,24,1,10,3,50,2,4.2,1,41,1,Every 3 Months,2
215,62,1,15,0,64,1,2.8,1,24,4,Bi-Weekly,1
216,43,1,18,1,61,1,3.7,1,21,5,Weekly,6
217,35,1,22,0,48,3,3.5,1,24,0,Annually,0
218,28,1,24,1,45,1,2.9,1,8,2,Quarterly,5
219,32,1,1,0,88,1,3.0,1,12,1,Fortnightly,3
220,39,1,20,2,57,1,3.7,1,48,3,Fortnightly,3
221,28,1,8,0,68,2,4.4,1,6,0,Quarterly,5
222,47,1,6,0,94,1,4.5,1,14,4,Fortnightly,3
223,20,1,13,1,41,1,4.8,1,34,4,Annually,0
224,63,1,21,1,83,2,2.9,1,12,1,Every 3 Months,2
225,25,1,10,3,22,1,3.2,1,11,0,Annually,0
226,29,1,17,2,74,1,3.3,1,5,4,Monthly,4
227,50,1,11,1,90,3,4.2,1,25,5,Fortnightly,3
228,18,1,21,1,79,1,2.9,1,11,2,Annually,0
229,70,1,14,2,28,1,4.6,1,27,4,Every 3 Months,2
230,66,1,15,0,88,0,4.1,1,43,2,Annually,0
231,28,1,2,1,26,1,3.1,1,18,3,Every 3 Months,2
232,54,1,12,0,27,3,4.2,1,32,0,Bi-Weekly,1
233,19,1,23,1,83,0,4.5,1,27,0,Every 3 Months,2
234,20,1,6,0,39,2,3.7,1,24,2,Weekly,6
235,43,1,22,0,89,3,3.7,1,31,3,Quarterly,5
236,38,1,4,3,68,3,3.4,1,39,4,Fortnightly,3
237,50,1,5,1,90,2,3.0,1,36,3,Fortnightly,3
238,64,1,19,1,34,0,4.2,1,5,1,Annually,0
239,49,1,13,1,51,2,2.9,1,47,2,Bi-Weekly,1
240,47,1,23,1,45,3,3.5,1,29,0,Fortnightly,3
241,36,1,9,1,88,3,4.1,1,43,5,Bi-Weekly,1
242,55,1,4,3,85,2,4.3,1,40,3,Every 3 Months,2
243,25,1,12,0,100,3,2.8,1,4,3,Monthly,4
244,53,1,1,0,42,1,4.9,1,39,4,Weekly,6
245,49,1,14,2,53,2,3.3,1,45,5,Fortnightly,3
246,35,1,22,0,86,1,3.2,1,20,5,Bi-Weekly,1
247,29,1,23,1,66,1,4.4,1,14,3,Weekly,6
248,47,1,1,0,100,3,4.8,1,33,4,Weekly,6
249,53,1,7,0,47,0,4.2,1,18,2,Annually,0
250,33,1,19,1,25,0,4.0,1,9,0,Weekly,6
251,21,1,7,0,51,3,2.5,1,34,4,Annually,0
252,32,1,18,1,41,2,3.9,1,33,5,Fortnightly,3
253,52,1,3,2,73,3,4.9,1,15,0,Bi-Weekly,1
254,67,1,22,0,42,3,3.5,1,4,4,Bi-Weekly,1
255,43,1,15,0,20,1,4.2,1,25,3,Annually,0
256,58,1,12,0,30,1,4.7,1,20,2,Every 3 Months,2
257,20,1,7,0,53,2,4.5,1,5,2,Quarterly,5
258,61,1,6,0,74,1,2.8,1,16,1,Quarterly,5
259,32,1,11,1,57,0,2.9,1,13,3,Annually,0
260,38,1,8,0,57,3,3.2,1,11,2,Every 3 Months,2
261,21,1,11,1,77,3,4.9,1,21,2,Annually,0
262,37,1,13,1,40,2,3.7,1,6,3,Annually,0
263,27,1,18,1,46,2,4.3,1,29,5,Monthly,4
264,36,1,13,1,78,0,3.9,1,15,1,Annually,0
265,32,1,0,0,59,1,3.2,1,17,0,Bi-Weekly,1
266,51,1,12,0,75,2,3.1,1,32,2,Weekly,6
267,64,1,23,1,54,1,3.9,1,42,5,Annually,0
268,68,1,17,2,42,1,2.6,1,21,1,Monthly,4
269,68,1,2,1,44,3,3.3,1,9,1,Bi-Weekly,1
270,33,1,11,1,52,0,4.6,1,16,0,Annually,0
271,65,1,22,0,69,2,4.6,1,42,2,Fortnightly,3
272,48,1,12,0,26,2,4.4,1,37,3,Bi-Weekly,1
273,69,1,4,3,33,1,4.2,1,32,3,Quarterly,5
274,59,1,12,0,32,1,3.0,1,28,1,Bi-Weekly,1
275,48,1,0,0,85,3,4.0,1,13,2,Weekly,6
276,25,1,19,1,30,0,3.5,1,11,0,Fortnightly,3
277,29,1,16,1,29,3,3.0,1,36,0,Bi-Weekly,1
278,57,1,23,1,95,1,3.7,1,23,3,Annually,0
279,23,1,20,2,69,2,4.0,1,37,0,Monthly,4
280,45,1,14,2,69,0,4.2,1,21,1,Bi-Weekly,1
281,38,1,1,0,61,1,2.5,1,22,3,Bi-Weekly,1
282,21,1,19,1,94,2,3.0,1,9,1,Monthly,4
283,32,1,23,1,30,0,3.2,1,16,5,Annually,0
284,63,1,19,1,45,2,3.5,1,4,4,Quarterly,5
285,29,1,7,0,39,2,4.8,1,3,3,Bi-Weekly,1
286,27,1,12,0,51,2,2.6,1,6,3,Annually,0
287,56,1,15,0,37,1,3.4,1,18,5,Fortnightly,3
288,30,1,24,1,62,3,3.7,1,34,5,Bi-Weekly,1
289,49,1,4,3,85,0,4.5,1,26,2,Monthly,4
290,58,1,24,1,33,3,3.7,1,50,4,Weekly,6
291,57,1,5,1,26,0,3.3,1,40,0,Monthly,4
292,60,1,17,2,99,1,4.7,1,24,1,Quarterly,5
293,69,1,7,0,39,1,2.7,1,33,4,Annually,0
294,70,1,19,1,20,1,4.6,1,19,2,Every 3 Months,2
295,53,1,22,0,42,3,2.7,1,24,2,Quarterly,5
296,25,1,14,2,74,1,4.8,1,19,2,Weekly,6
297,48,1,17,2,26,2,4.4,1,4,2,Bi-Weekly,1
298,69,1,24,1,53,3,4.0,1,11,5,Every 3 Months,2
299,25,1,20,2,80,2,3.2,1,28,4,Fortnightly,3
300,29,1,8,0,98,1,4.4,1,24,4,Weekly,6
301,46,1,19,1,95,1,3.8,1,25,2,Every 3 Months,2
302,37,1,23,1,44,2,3.6,1,27,0,Every 3 Months,2
303,20,1,14,2,60,2,3.3,1,49,5,Weekly,6
304,40,1,5,1,84,3,3.4,1,45,2,Bi-Weekly,1
305,60,1,23,1,59,0,3.5,1,26,4,Annually,0
306,26,1,10,3,49,2,3.6,1,4,1,Annually,0
307,29,1,6,0,32,3,3.2,1,3,2,Every 3 Months,2
308,66,1,7,0,29,0,3.7,1,45,5,Bi-Weekly,1
309,66,1,5,1,22,1,4.5,1,21,1,Fortnightly,3
310,56,1,13,1,85,3,4.6,1,50,1,Fortnightly,3
311,69,1,11,1,52,3,4.1,1,19,0,Monthly,4
312,38,1,13,1,89,1,3.4,1,6,4,Annually,0
313,42,1,5,1,77,1,3.7,1,50,2,Every 3 Months,2
314,30,1,13,1,24,2,3.3,1,17,3,Every 3 Months,2
315,66,1,12,0,24,1,4.5,1,24,3,Annually,0
316,36,1,7,0,22,0,3.3,1,46,5,Monthly,4
317,58,1,23,1,82,0,4.3,1,42,1,Every 3 Months,2
318,45,1,0,0,67,3,2.5,1,10,1,Annually,0
319,47,1,18,1,74,1,2.6,1,1,1,Every 3 Months,2
320,66,1,12,0,72,2,4.9,1,28,3,Quarterly,5
321,41,1,20,2,36,2,4.7,1,48,3,Quarterly,5
322,41,1,1,0,95,3,3.0,1,47,2,Monthly,4
323,66,1,9,1,78,3,3.5,1,29,4,Bi-Weekly,1
324,37,1,16,1,82,2,4.8,1,37,5,Quarterly,5
325,70,1,13,1,70,3,4.3,1,38,3,Annually,0
326,62,1,15,0,41,0,3.2,1,48,0,Weekly,6
327,61,1,4,3,42,2,3.1,1,36,4,Weekly,6
328,48,1,4,3,50,0,2.8,1,9,2,Weekly,6
329,70,1,21,1,31,2,2.9,1,34,0,Monthly,4
330,46,1,23,1,51,3,3.7,1,43,5,Bi-Weekly,1
331,31,1,16,1,98,0,3.3,1,46,4,Quarterly,5
332,19,1,16,1,86,3,2.8,1,5,2,Monthly,4
333,39,1,23,1,64,3,4.5,1,15,0,Bi-Weekly,1
334,41,1,2,1,46,0,2.6,1,30,2,Annually,0
335,20,1,23,1,85,1,3.7,1,44,5,Every 3 Months,2
336,36,1,8,0,81,0,4.4,1,16,4,Annually,0
337,32,1,23,1,59,3,4.3,1,16,0,Annually,0
338,69,1,9,1,79,3,3.5,1,16,1,Weekly,6
339,40,1,18,1,33,1,3.8,1,21,2,Every 3 Months,2
340,40,1,18,1,47,2,3.5,1,39,5,Every 3 Months,2
341,20,1,8,0,20,2,4.6,1,40,3,Bi-Weekly,1
342,64,1,4,3,36,1,2.6,1,48,2,Every 3 Months,2
343,27,1,14,2,39,2,4.4,1,26,5,Monthly,4
344,24,1,19,1,71,3,4.0,1,46,3,Monthly,4
345,48,1,17,2,59,3,4.4,1,27,0,Annually,0
346,49,1,11,1,50,1,4.7,1,5,1,Weekly,6
347,36,1,14,2,41,0,3.9,1,43,4,Fortnightly,3
348,56,1,2,1,59,0,2.7,1,17,4,Fortnightly,3
349,37,1,8,0,87,3,3.7,1,3,0,Bi-Weekly,1
350,42,1,23,1,68,1,2.6,1,47,0,Fortnightly,3
351,28,1,19,1,90,3,3.9,1,24,3,Bi-Weekly,1
352,27,1,11,1,71,0,4.9,1,12,1,Every 3 Months,2
353,63,1,20,2,64,0,4.1,1,35,3,Monthly,4
354,58,1,12,0,76,0,3.0,1,42,5,Weekly,6
355,37,1,12,0,42,0,4.1,1,1,4,Every 3 Months,2
356,56,1,13,1,80,1,3.8,1,27,1,Weekly,6
357,18,1,1,0,56,1,4.0,1,16,2,Bi-Weekly,1
358,48,1,8,0,25,2,3.6,1,36,2,Every 3 Months,2
359,31,1,20,2,74,3,3.0,1,30,2,Every 3 Months,2
360,51,1,13,1,30,2,3.0,1,18,3,Fortnightly,3
361,65,1,24,1,96,1,2.6,1,45,1,Annually,0
362,53,1,20,2,64,0,3.4,1,1,5,Fortnightly,3
363,55,1,18,1,88,3,3.1,1,42,0,Fortnightly,3
364,62,1,17,2,88,2,3.0,1,7,5,Every 3 Months,2
365,55,1,6,0,88,2,3.7,1,50,4,Quarterly,5
366,64,1,21,1,36,1,3.5,1,37,5,Fortnightly,3
367,52,1,5,1,40,1,2.8,1,18,0,Monthly,4
368,24,1,7,0,39,1,4.5,1,29,1,Monthly,4
369,38,1,1,0,40,2,3.3,1,45,4,Quarterly,5
370,59,1,15,0,34,3,3.4,1,13,4,Weekly,6
371,27,1,20,2,83,3,3.2,1,47,4,Monthly,4
372,24,1,23,1,85,2,3.7,1,7,3,Weekly,6
373,23,1,4,3,27,2,4.6,1,11,5,Bi-Weekly,1
374,69,1,12,0,78,1,5.0,1,39,0,Monthly,4
375,59,1,22,0,32,2,4.4,1,6,3,Quarterly,5
376,51,1,17,2,51,0,4.9,1,2,5,Bi-Weekly,1
377,63,1,15,0,32,1,4.1,1,39,2,Every 3 Months,2
378,54,1,5,1,62,3,4.9,1,23,2,Monthly,4
379,32,1,24,1,29,0,4.7,1,46,3,Bi-Weekly,1
380,39,1,0,0,69,0,3.0,1,19,0,Weekly,6
381,66,1,12,0,25,3,3.4,1,3,2,Every 3 Months,2
382,28,1,11,1,76,3,3.2,1,47,4,Quarterly,5
383,50,1,22,0,77,0,2.9,1,6,4,Quarterly,5
384,70,1,23,1,33,0,4.5,1,6,5,Annually,0
385,67,1,18,1,93,0,2.7,1,12,2,Bi-Weekly,1
386,64,1,12,0,39,1,3.4,1,40,4,Quarterly,5
387,45,1,4,3,93,2,4.6,1,38,4,Fortnightly,3
388,22,1,7,0,82,2,2.7,1,10,4,Quarterly,5
389,27,1,3,2,42,1,4.2,1,28,0,Monthly,4
390,25,1,6,0,71,3,3.2,1,19,4,Annually,0
391,37,1,23,1,86,1,4.8,1,25,1,Fortnightly,3
392,26,1,24,1,82,1,3.3,1,38,2,Annually,0
393,33,1,17,2,65,0,4.2,1,6,4,Fortnightly,3
394,43,1,15,0,29,1,4.8,1,7,3,Bi-Weekly,1
395,37,1,20,2,65,3,4.9,1,2,4,Annually,0
396,46,1,5,1,88,0,3.9,1,24,0,Annually,0
397,22,1,1,0,46,0,3.0,1,26,1,Annually,0
398,20,1,3,2,67,3,4.6,1,25,3,Every 3 Months,2
399,60,1,15,0,35,0,3.5,1,10,3,Monthly,4
400,39,1,3,2,66,3,4.8,1,14,4,Fortnightly,3
401,43,1,24,1,91,0,4.8,1,21,1,Quarterly,5
402,31,1,0,0,78,0,3.0,1,26,4,Monthly,4
403,19,1,20,2,45,3,4.5,1,12,0,Annually,0
404,35,1,24,1,93,1,4.8,1,11,2,Monthly,4
405,41,1,11,1,74,2,3.8,1,15,1,Annually,0
406,52,1,6,0,55,1,4.6,1,13,1,Monthly,4
407,45,1,9,1,76,1,3.1,1,5,2,Bi-Weekly,1
408,34,1,20,2,66,1,3.4,1,36,1,Fortnightly,3
409,35,1,18,1,51,3,3.3,1,32,0,Monthly,4
410,29,1,23,1,26,1,4.8,1,1,2,Quarterly,5
411,59,1,11,1,29,2,2.8,1,15,4,Annually,0
412,24,1,10,3,74,2,3.1,1,3,0,Weekly,6
413,70,1,12,0,99,2,4.6,1,48,1,Monthly,4
414,29,1,0,0,88,3,2.6,1,30,3,Weekly,6
415,67,1,4,3,31,3,2.6,1,40,0,Monthly,4
416,36,1,1,0,55,1,3.8,1,24,0,Fortnightly,3
417,23,1,14,2,81,0,4.5,1,48,3,Quarterly,5
418,18,1,23,1,73,1,3.0,1,27,5,Bi-Weekly,1
419,53,1,18,1,91,3,3.5,1,14,2,Every 3 Months,2
420,32,1,21,1,54,1,3.8,1,18,3,Bi-Weekly,1
421,38,1,16,1,40,3,3.5,1,48,1,Bi-Weekly,1
422,47,1,13,1,59,0,3.1,1,32,3,Annually,0
423,46,1,15,0,26,1,3.0,1,21,2,Bi-Weekly,1
424,66,1,23,1,23,3,4.3,1,42,4,Fortnightly,3
425,40,1,11,1,87,3,3.3,1,4,2,Quarterly,5
426,43,1,13,1,71,3,4.7,1,19,2,Quarterly,5
427,58,1,0,0,91,3,4.5,1,6,2,Quarterly,5
428,21,1,4,3,64,3,2.9,1,2,3,Fortnightly,3
